enrollee_id,full_name,city,gender,enrolled_university,education_level,major_discipline,relevent_experience,experience,company_size,company_type,last_new_job,training_hours,employed
22452,Jane Garcia,city_21,female,full time course,masters,stem,No relevent experience,5,unknown,unknown,never,26,1.0
9006,Emily Garcia,city_21,male,no_enrollment,graduate,stem,Has relevent experience,5,100-500,pvt ltd,never,87,1.0
25987,Chris Johnson,city_103,other,no_enrollment,graduate,stem,Has relevent experience,19,10000+,public sector,4,52,1.0
4476,Laura Hernandez,city_101,male,no_enrollment,graduate,no major,Has relevent experience,15,unknown,unknown,>4,20,1.0
25103,Jane Davis,city_83,male,no_enrollment,graduate,stem,Has relevent experience,11,10/49,pvt ltd,1,21,0.0
5568,Laura Hernandez,city_101,male,no_enrollment,graduate,stem,No relevent experience,4,unknown,unknown,1,92,1.0
2195,David Williams,city_64,male,no_enrollment,graduate,stem,Has relevent experience,10,100-500,pvt ltd,2,102,0.0
30533,Sarah Davis,city_105,male,no_enrollment,graduate,humanities,No relevent experience,5,10000+,pvt ltd,>4,26,0.0
28512,Alex Jones,city_104,other,no_enrollment,masters,stem,Has relevent experience,3,<10,early stage startup,2,7,0.0
1023,Alex Johnson,city_114,male,full time course,high school,stem,No relevent experience,4,10000+,pvt ltd,1,43,0.0
12253,David Martinez,city_104,male,no_enrollment,graduate,stem,Has relevent experience,>20,100-500,pvt ltd,1,45,0.0
25296,Mike Williams,city_73,male,full time course,graduate,stem,Has relevent experience,2,50-99,early stage startup,2,52,0.0
13238,John Miller,city_103,male,no_enrollment,graduate,stem,Has relevent experience,>20,unknown,unknown,2,19,0.0
13478,John Williams,city_21,other,full time course,graduate,stem,Has relevent experience,2,10/49,funded startup,1,32,1.0
18578,John Martinez,city_162,male,no_enrollment,graduate,humanities,Has relevent experience,>20,100-500,pvt ltd,>4,26,1.0
29975,Alex Jones,city_67,male,part time course,graduate,stem,Has relevent experience,6,unknown,unknown,1,90,0.0
26516,Jane Williams,city_75,male,no_enrollment,graduate,stem,Has relevent experience,6,100-500,pvt ltd,3,25,0.0
24690,Katie Brown,city_41,other,no_enrollment,masters,stem,Has relevent experience,13,<10,unknown,1,15,0.0
8433,Laura Williams,city_100,male,no_enrollment,masters,humanities,Has relevent experience,>20,100-500,pvt ltd,>4,48,0.0
9572,Alex Garcia,city_11,other,full time course,high school,stem,No relevent experience,3,unknown,unknown,1,98,0.0
5878,Sarah Johnson,city_93,male,no_enrollment,graduate,stem,Has relevent experience,10,50-99,pvt ltd,2,142,1.0
25695,Chris Brown,city_67,other,no_enrollment,masters,humanities,No relevent experience,4,10000+,pvt ltd,4,13,0.0
9645,Sarah Davis,city_16,male,no_enrollment,graduate,stem,Has relevent experience,15,unknown,unknown,>4,47,0.0
12730,Sarah Garcia,city_16,female,no_enrollment,masters,humanities,Has relevent experience,14,500-999,public sector,1,28,0.0
4830,Jane Jones,city_90,other,no_enrollment,graduate,stem,No relevent experience,2,unknown,pvt ltd,never,228,1.0
20970,Laura Hernandez,city_64,male,no_enrollment,graduate,stem,Has relevent experience,>20,unknown,unknown,4,22,0.0
17271,Jane Jones,city_21,male,full time course,graduate,stem,No relevent experience,<1,unknown,unknown,never,18,1.0
12731,Mike Garcia,city_13,male,no_enrollment,graduate,stem,Has relevent experience,2,10/49,pvt ltd,1,29,0.0
10908,David Davis,city_67,male,no_enrollment,masters,stem,Has relevent experience,5,100-500,unknown,1,46,0.0
29117,Alex Miller,city_11,other,full time course,graduate,stem,No relevent experience,<1,unknown,unknown,never,12,0.0
3686,John Martinez,city_103,other,no_enrollment,graduate,stem,Has relevent experience,5,100-500,pvt ltd,2,17,0.0
22683,David Johnson,city_36,male,no_enrollment,masters,stem,Has relevent experience,5,50-99,pvt ltd,2,65,0.0
22134,Chris Garcia,city_103,male,no_enrollment,graduate,humanities,No relevent experience,3,100-500,pvt ltd,1,35,0.0
31765,Emily Johnson,city_67,male,full time course,graduate,stem,No relevent experience,9,10000+,pvt ltd,3,14,0.0
31449,John Johnson,city_103,female,no_enrollment,masters,stem,Has relevent experience,2,<10,early stage startup,1,4,0.0
5987,Laura Johnson,city_103,male,no_enrollment,graduate,stem,Has relevent experience,15,50-99,pvt ltd,>4,12,0.0
21762,Sarah Williams,city_160,male,no_enrollment,graduate,stem,Has relevent experience,>20,50-99,pvt ltd,2,108,0.0
22070,Emily Davis,city_103,male,no_enrollment,graduate,stem,No relevent experience,>20,unknown,unknown,1,136,0.0
25413,John Brown,city_103,male,no_enrollment,graduate,stem,Has relevent experience,5,10/49,unknown,1,27,0.0
5902,Mike Jones,city_20,other,part time course,masters,stem,Has relevent experience,4,50-99,funded startup,1,74,0.0
28403,Chris Brown,city_71,male,no_enrollment,graduate,stem,Has relevent experience,15,10/49,early stage startup,1,86,0.0
30937,Katie Miller,city_57,female,part time course,graduate,stem,No relevent experience,<1,10/49,pvt ltd,2,83,0.0
28751,Alex Brown,city_103,other,full time course,high school,stem,No relevent experience,4,unknown,unknown,3,75,0.0
29290,Mike Miller,city_152,male,full time course,masters,stem,No relevent experience,11,unknown,public sector,2,42,0.0
32401,Emily Davis,city_103,female,no_enrollment,graduate,stem,Has relevent experience,6,100-500,unknown,1,332,0.0
19128,Laura Johnson,city_61,male,full time course,graduate,stem,No relevent experience,4,unknown,unknown,1,140,0.0
29036,Laura Hernandez,city_16,male,no_enrollment,high school,stem,No relevent experience,3,unknown,unknown,never,182,0.0
16869,Katie Smith,city_103,female,no_enrollment,graduate,humanities,No relevent experience,3,100-500,pvt ltd,1,13,1.0
10497,Jane Smith,city_19,other,no_enrollment,graduate,stem,Has relevent experience,5,10/49,pvt ltd,2,172,1.0
18099,Alex Garcia,city_103,other,no_enrollment,graduate,stem,Has relevent experience,10,100-500,ngo,1,48,0.0
12081,John Davis,city_65,male,full time course,graduate,stem,Has relevent experience,9,50-99,pvt ltd,1,33,0.0
7364,Jane Jones,city_160,other,full time course,high school,stem,No relevent experience,2,100-500,pvt ltd,1,142,0.0
11184,Chris Miller,city_74,other,full time course,graduate,stem,No relevent experience,2,100-500,pvt ltd,1,34,0.0
7016,Chris Miller,city_65,male,no_enrollment,graduate,stem,Has relevent experience,6,50-99,pvt ltd,2,14,1.0
8695,Sarah Davis,city_11,male,no_enrollment,graduate,stem,Has relevent experience,6,10/49,pvt ltd,2,27,1.0
6172,Laura Martinez,city_11,male,no_enrollment,graduate,stem,Has relevent experience,8,100-500,pvt ltd,1,24,1.0
14672,Jane Davis,city_173,other,no_enrollment,masters,stem,No relevent experience,>20,unknown,unknown,1,150,0.0
18257,Laura Martinez,city_103,female,no_enrollment,graduate,stem,Has relevent experience,11,500-999,ngo,>4,20,0.0
24493,Laura Jones,city_103,other,no_enrollment,graduate,stem,Has relevent experience,5,500-999,unknown,1,140,0.0
1180,Chris Miller,city_16,male,no_enrollment,graduate,stem,Has relevent experience,12,5000-9999,pvt ltd,1,52,0.0
28627,John Davis,city_75,male,no_enrollment,graduate,stem,Has relevent experience,>20,50-99,pvt ltd,2,160,0.0
8168,Mike Miller,city_136,male,no_enrollment,masters,stem,Has relevent experience,9,5000-9999,pvt ltd,2,3,0.0
10473,Laura Davis,city_21,male,no_enrollment,graduate,stem,Has relevent experience,2,<10,pvt ltd,2,2,1.0
25349,Mike Williams,city_16,male,no_enrollment,graduate,stem,Has relevent experience,>20,1000-4999,pvt ltd,>4,28,0.0
5220,David Hernandez,city_73,male,no_enrollment,graduate,other,Has relevent experience,>20,unknown,unknown,4,46,0.0
4789,Sarah Hernandez,city_67,male,no_enrollment,graduate,stem,Has relevent experience,8,50-99,pvt ltd,1,210,0.0
11338,Mike Smith,city_114,male,no_enrollment,graduate,stem,Has relevent experience,10,<10,pvt ltd,1,36,0.0
27963,Mike Miller,city_98,male,full time course,graduate,stem,No relevent experience,4,unknown,unknown,1,160,1.0
8571,Emily Smith,city_21,male,full time course,graduate,stem,Has relevent experience,2,10/49,ngo,2,101,0.0
16303,Mike Williams,city_114,male,no_enrollment,masters,stem,Has relevent experience,6,50-99,unknown,1,46,0.0
20576,Chris Smith,city_97,male,no_enrollment,graduate,stem,Has relevent experience,>20,1000-4999,pvt ltd,>4,19,0.0
32966,Mike Brown,city_21,male,no_enrollment,graduate,stem,Has relevent experience,3,100-500,pvt ltd,2,26,1.0
21199,David Garcia,city_90,other,full time course,graduate,stem,Has relevent experience,7,<10,ngo,1,90,0.0
18819,Katie Smith,city_50,male,no_enrollment,graduate,stem,Has relevent experience,9,<10,pvt ltd,4,59,0.0
14199,Alex Hernandez,city_160,male,part time course,graduate,business degree,Has relevent experience,10,50-99,funded startup,1,260,0.0
7666,Jane Smith,city_21,female,no_enrollment,graduate,stem,Has relevent experience,11,50-99,pvt ltd,>4,74,0.0
13915,John Jones,city_16,male,no_enrollment,phd,stem,Has relevent experience,>20,100-500,pvt ltd,2,20,1.0
10555,Mike Martinez,city_173,male,no_enrollment,graduate,stem,Has relevent experience,12,100-500,pvt ltd,2,8,0.0
16040,Chris Brown,city_103,male,no_enrollment,graduate,stem,Has relevent experience,6,100-500,pvt ltd,1,131,0.0
32826,David Garcia,city_138,male,full time course,masters,stem,Has relevent experience,7,unknown,unknown,1,45,0.0
13253,David Davis,city_82,male,full time course,graduate,stem,Has relevent experience,11,10/49,pvt ltd,2,109,0.0
15637,Mike Brown,city_67,male,no_enrollment,graduate,humanities,Has relevent experience,3,100-500,pvt ltd,1,70,0.0
28074,Jane Miller,city_103,female,no_enrollment,graduate,stem,Has relevent experience,>20,100-500,ngo,>4,17,0.0
23012,Sarah Hernandez,city_103,female,no_enrollment,masters,stem,No relevent experience,15,50-99,pvt ltd,1,51,0.0
16110,Jane Johnson,city_103,female,no_enrollment,graduate,stem,Has relevent experience,6,50-99,pvt ltd,3,60,1.0
3921,Katie Hernandez,city_36,other,no_enrollment,phd,stem,No relevent experience,>20,1000-4999,public sector,>4,4,0.0
24530,Chris Brown,city_114,male,no_enrollment,graduate,stem,No relevent experience,12,100-500,pvt ltd,>4,7,0.0
1924,Alex Garcia,city_102,other,no_enrollment,masters,stem,Has relevent experience,>20,100-500,pvt ltd,3,164,0.0
32776,Sarah Williams,city_64,male,no_enrollment,graduate,stem,Has relevent experience,20,unknown,unknown,4,290,0.0
1907,Chris Brown,city_102,male,no_enrollment,high school,stem,No relevent experience,2,<10,ngo,never,145,0.0
23947,Jane Martinez,city_103,other,no_enrollment,phd,stem,No relevent experience,>20,unknown,unknown,1,70,0.0
3116,Alex Martinez,city_21,male,no_enrollment,graduate,stem,No relevent experience,3,unknown,unknown,1,24,0.0
24829,Jane Miller,city_103,male,no_enrollment,masters,humanities,No relevent experience,3,10000+,pvt ltd,1,133,1.0
30488,Katie Martinez,city_11,other,full time course,graduate,stem,No relevent experience,2,unknown,unknown,1,20,0.0
1265,Jane Hernandez,city_103,male,no_enrollment,graduate,stem,Has relevent experience,10,<10,funded startup,1,76,0.0
22098,Emily Davis,city_90,female,full time course,masters,stem,No relevent experience,5,unknown,unknown,4,21,1.0
13342,Emily Jones,city_21,female,no_enrollment,graduate,other,Has relevent experience,8,5000-9999,pvt ltd,2,34,0.0
24608,Sarah Williams,city_160,male,no_enrollment,graduate,stem,No relevent experience,9,<10,pvt ltd,2,15,0.0
20081,Jane Jones,city_57,male,no_enrollment,graduate,stem,No relevent experience,>20,unknown,unknown,>4,156,0.0
24796,Sarah Jones,city_103,male,no_enrollment,graduate,stem,Has relevent experience,>20,5000-9999,pvt ltd,>4,15,0.0
7777,Sarah Davis,city_114,other,no_enrollment,masters,stem,Has relevent experience,>20,unknown,unknown,never,120,0.0
22718,Emily Brown,city_157,other,no_enrollment,graduate,no major,Has relevent experience,14,10000+,unknown,>4,47,0.0
1261,Mike Hernandez,city_73,male,no_enrollment,graduate,stem,Has relevent experience,12,unknown,unknown,2,100,1.0
3396,David Smith,city_67,male,part time course,graduate,stem,Has relevent experience,6,500-999,pvt ltd,never,102,0.0
4283,John Martinez,city_103,male,no_enrollment,high school,stem,No relevent experience,4,unknown,unknown,never,52,0.0
18998,Sarah Davis,city_114,other,no_enrollment,high school,stem,Has relevent experience,9,10/49,unknown,4,39,0.0
2003,Mike Williams,city_103,male,full time course,high school,stem,Has relevent experience,4,unknown,unknown,1,112,1.0
31786,Laura Williams,city_103,male,no_enrollment,phd,stem,No relevent experience,>20,50-99,pvt ltd,>4,14,0.0
8241,Chris Garcia,city_16,other,no_enrollment,graduate,stem,Has relevent experience,11,unknown,unknown,1,4,0.0
12154,John Johnson,city_16,other,no_enrollment,masters,arts,Has relevent experience,>20,1000-4999,ngo,>4,55,0.0
23455,Chris Davis,city_21,male,no_enrollment,graduate,stem,Has relevent experience,6,10000+,pvt ltd,4,49,1.0
19882,Jane Martinez,city_16,male,no_enrollment,graduate,stem,Has relevent experience,15,unknown,unknown,>4,72,0.0
28817,John Smith,city_89,male,full time course,graduate,stem,Has relevent experience,14,5000-9999,pvt ltd,3,141,1.0
4656,Jane Garcia,city_114,male,no_enrollment,high school,stem,No relevent experience,6,unknown,pvt ltd,never,28,0.0
7280,Chris Davis,city_103,male,no_enrollment,graduate,stem,Has relevent experience,13,10000+,pvt ltd,1,6,0.0
16903,Alex Hernandez,city_103,male,no_enrollment,graduate,no major,Has relevent experience,17,5000-9999,pvt ltd,1,125,0.0
13333,David Garcia,city_75,other,no_enrollment,graduate,stem,Has relevent experience,>20,unknown,unknown,never,326,0.0
26241,Katie Davis,city_103,male,no_enrollment,graduate,other,Has relevent experience,>20,100-500,pvt ltd,2,33,0.0
12381,Emily Brown,city_102,other,no_enrollment,masters,stem,No relevent experience,6,10000+,pvt ltd,>4,40,0.0
4064,David Johnson,city_160,other,no_enrollment,graduate,stem,Has relevent experience,18,unknown,unknown,1,198,1.0
32092,Alex Hernandez,city_103,female,no_enrollment,masters,stem,Has relevent experience,15,10000+,pvt ltd,>4,55,0.0
3766,Emily Smith,city_150,male,no_enrollment,graduate,stem,No relevent experience,>20,500-999,pvt ltd,>4,32,0.0
30496,John Garcia,city_103,male,no_enrollment,graduate,arts,Has relevent experience,>20,100-500,pvt ltd,>4,11,0.0
7189,Jane Hernandez,city_73,male,no_enrollment,graduate,stem,Has relevent experience,>20,<10,pvt ltd,1,41,0.0
29497,Laura Williams,city_103,male,no_enrollment,masters,stem,Has relevent experience,>20,10000+,public sector,>4,87,1.0
31593,David Williams,city_67,male,no_enrollment,masters,stem,Has relevent experience,10,100-500,pvt ltd,4,114,0.0
12384,Jane Garcia,city_70,other,no_enrollment,graduate,stem,Has relevent experience,>20,unknown,unknown,>4,33,0.0
11986,John Hernandez,city_90,male,part time course,masters,stem,Has relevent experience,5,<10,early stage startup,1,15,0.0
31033,Alex Jones,city_16,other,full time course,high school,stem,No relevent experience,3,unknown,unknown,1,8,0.0
14835,David Johnson,city_173,female,part time course,high school,stem,Has relevent experience,2,100-500,ngo,1,22,0.0
3728,Mike Hernandez,city_103,male,no_enrollment,masters,stem,Has relevent experience,>20,5000-9999,pvt ltd,4,13,0.0
3024,David Williams,city_98,male,no_enrollment,graduate,stem,Has relevent experience,>20,<10,public sector,1,246,0.0
23508,Mike Garcia,city_103,male,no_enrollment,masters,stem,Has relevent experience,9,10/49,pvt ltd,1,22,0.0
29457,Mike Johnson,city_103,male,no_enrollment,masters,stem,Has relevent experience,>20,<10,funded startup,1,81,0.0
12297,Jane Brown,city_175,other,full time course,graduate,stem,Has relevent experience,4,10/49,funded startup,1,11,0.0
27708,Alex Williams,city_94,male,full time course,graduate,stem,No relevent experience,5,5000-9999,unknown,1,24,1.0
3065,David Smith,city_103,male,no_enrollment,graduate,stem,Has relevent experience,>20,100-500,funded startup,1,50,0.0
29226,Chris Johnson,city_104,male,full time course,high school,stem,No relevent experience,6,unknown,unknown,never,15,0.0
5493,Mike Garcia,city_28,male,no_enrollment,masters,stem,Has relevent experience,>20,10/49,pvt ltd,>4,31,0.0
2891,Laura Martinez,city_114,male,no_enrollment,masters,stem,Has relevent experience,>20,50-99,pvt ltd,never,84,0.0
32509,Alex Jones,city_136,male,part time course,graduate,stem,Has relevent experience,4,10000+,pvt ltd,1,42,0.0
31841,Jane Hernandez,city_21,other,no_enrollment,graduate,stem,Has relevent experience,10,10/49,pvt ltd,>4,105,1.0
907,Chris Brown,city_103,female,no_enrollment,graduate,stem,Has relevent experience,>20,50-99,pvt ltd,>4,72,0.0
29526,Mike Brown,city_115,male,no_enrollment,graduate,stem,Has relevent experience,14,10/49,pvt ltd,>4,42,1.0
10956,Alex Williams,city_94,male,no_enrollment,graduate,stem,Has relevent experience,15,50-99,early stage startup,1,152,0.0
26099,David Hernandez,city_103,male,no_enrollment,graduate,stem,Has relevent experience,12,10000+,pvt ltd,1,60,0.0
26163,Laura Smith,city_21,male,full time course,masters,stem,No relevent experience,2,unknown,unknown,never,8,0.0
4120,Alex Smith,city_16,male,full time course,masters,stem,No relevent experience,13,unknown,unknown,3,17,1.0
7335,Sarah Martinez,city_83,male,no_enrollment,high school,stem,No relevent experience,1,unknown,unknown,1,33,0.0
706,David Jones,city_16,male,no_enrollment,masters,stem,Has relevent experience,4,100-500,funded startup,never,38,0.0
9890,Chris Williams,city_103,male,no_enrollment,graduate,humanities,Has relevent experience,14,<10,early stage startup,2,178,0.0
32683,Jane Martinez,city_160,male,no_enrollment,graduate,stem,Has relevent experience,15,50-99,pvt ltd,1,11,0.0
27104,Mike Martinez,city_36,male,no_enrollment,high school,stem,Has relevent experience,>20,unknown,unknown,never,87,0.0
7731,Emily Williams,city_65,male,no_enrollment,graduate,stem,Has relevent experience,13,unknown,unknown,never,84,0.0
31943,Sarah Davis,city_71,male,no_enrollment,graduate,stem,Has relevent experience,>20,100-500,early stage startup,2,32,0.0
22899,Laura Williams,city_100,other,no_enrollment,masters,stem,Has relevent experience,9,100-500,pvt ltd,1,31,1.0
33339,Sarah Jones,city_21,male,no_enrollment,graduate,stem,No relevent experience,2,500-999,public sector,1,39,0.0
20866,Laura Jones,city_59,other,no_enrollment,graduate,stem,Has relevent experience,7,10/49,pvt ltd,1,12,0.0
21634,Alex Miller,city_21,other,full time course,graduate,stem,Has relevent experience,5,10000+,pvt ltd,1,50,0.0
29529,David Johnson,city_165,male,no_enrollment,graduate,stem,Has relevent experience,3,100-500,pvt ltd,1,55,1.0
4478,Laura Brown,city_11,other,no_enrollment,graduate,stem,Has relevent experience,5,50-99,pvt ltd,1,7,1.0
32095,David Martinez,city_103,male,no_enrollment,masters,humanities,Has relevent experience,2,50-99,early stage startup,1,104,0.0
18272,Alex Martinez,city_160,other,full time course,graduate,business degree,Has relevent experience,>20,unknown,unknown,>4,90,1.0
30098,Katie Martinez,city_103,male,no_enrollment,masters,other,Has relevent experience,>20,100-500,pvt ltd,>4,8,0.0
23825,David Johnson,city_21,male,full time course,graduate,stem,No relevent experience,2,unknown,unknown,never,102,0.0
7672,Chris Jones,city_21,other,no_enrollment,masters,stem,Has relevent experience,<1,10/49,pvt ltd,1,202,1.0
5633,David Garcia,city_145,other,no_enrollment,graduate,stem,Has relevent experience,4,100-500,pvt ltd,1,22,0.0
30695,David Smith,city_21,male,full time course,graduate,stem,No relevent experience,3,unknown,pvt ltd,never,42,0.0
5573,Emily Davis,city_160,other,no_enrollment,primary school,stem,No relevent experience,4,unknown,pvt ltd,never,50,0.0
24936,Chris Williams,city_21,male,no_enrollment,masters,stem,Has relevent experience,3,50-99,funded startup,1,88,0.0
397,Laura Smith,city_73,other,no_enrollment,graduate,stem,Has relevent experience,5,1000-4999,pvt ltd,4,81,0.0
31602,Jane Miller,city_103,male,no_enrollment,masters,stem,Has relevent experience,>20,10000+,pvt ltd,1,7,0.0
5278,Emily Garcia,city_21,male,no_enrollment,graduate,stem,No relevent experience,3,unknown,pvt ltd,never,218,0.0
16814,Chris Martinez,city_16,male,no_enrollment,graduate,stem,Has relevent experience,>20,10000+,pvt ltd,>4,62,0.0
19249,Jane Davis,city_103,male,no_enrollment,graduate,stem,Has relevent experience,6,50-99,pvt ltd,1,83,0.0
9475,John Smith,city_28,male,no_enrollment,graduate,stem,Has relevent experience,9,1000-4999,pvt ltd,>4,11,0.0
4865,Chris Garcia,city_114,male,part time course,phd,stem,No relevent experience,>20,50-99,unknown,>4,10,0.0
20881,John Garcia,city_28,male,no_enrollment,masters,stem,Has relevent experience,10,1000-4999,pvt ltd,1,114,0.0
21563,Jane Brown,city_21,other,no_enrollment,masters,stem,Has relevent experience,3,50-99,pvt ltd,1,36,0.0
25114,Mike Smith,city_102,other,no_enrollment,masters,stem,No relevent experience,6,10/49,pvt ltd,1,17,0.0
26002,Emily Martinez,city_16,male,full time course,graduate,stem,No relevent experience,2,unknown,unknown,never,80,1.0
8528,David Martinez,city_160,male,part time course,graduate,stem,Has relevent experience,>20,50-99,public sector,>4,108,0.0
6141,Jane Jones,city_103,male,no_enrollment,graduate,stem,Has relevent experience,2,100-500,pvt ltd,2,45,0.0
27667,Chris Johnson,city_103,male,full time course,graduate,stem,No relevent experience,5,unknown,unknown,never,77,0.0
2821,John Martinez,city_114,male,no_enrollment,masters,stem,Has relevent experience,15,100-500,pvt ltd,2,8,0.0
21216,Laura Miller,city_173,other,no_enrollment,graduate,stem,No relevent experience,5,unknown,unknown,1,28,0.0
25495,Sarah Hernandez,city_142,female,no_enrollment,graduate,stem,Has relevent experience,9,100-500,funded startup,>4,37,0.0
20791,Alex Johnson,city_16,other,full time course,graduate,stem,No relevent experience,2,unknown,unknown,2,108,1.0
28015,Katie Jones,city_103,male,no_enrollment,graduate,stem,Has relevent experience,13,500-999,pvt ltd,2,162,0.0
10685,Emily Hernandez,city_73,other,full time course,high school,stem,Has relevent experience,9,unknown,unknown,>4,41,0.0
405,Sarah Martinez,city_165,male,no_enrollment,masters,stem,Has relevent experience,19,100-500,pvt ltd,4,4,0.0
13891,Katie Miller,city_71,female,no_enrollment,phd,stem,No relevent experience,3,1000-4999,public sector,1,41,0.0
33050,Mike Garcia,city_165,other,no_enrollment,graduate,stem,Has relevent experience,17,10000+,pvt ltd,2,12,0.0
399,John Davis,city_103,male,no_enrollment,graduate,stem,Has relevent experience,>20,50-99,pvt ltd,1,190,0.0
8202,David Williams,city_21,other,no_enrollment,graduate,stem,Has relevent experience,7,50-99,pvt ltd,>4,29,1.0
8751,Alex Martinez,city_103,male,no_enrollment,graduate,stem,Has relevent experience,6,100-500,public sector,1,11,0.0
20744,John Miller,city_103,male,full time course,high school,stem,No relevent experience,3,10000+,pvt ltd,1,30,0.0
